"Habitat" "Site" "Station" "Tag" "Genus" "Species"
"157" "Forest" "Audubon2" "16A" "286" "Peromyscus" "leucopus"
"158" "Forest" "Audubon2" "17B" "286" "Peromyscus" "leucopus"
"159" "Forest" "Audubon2" "24A" "287" "Peromyscus" "leucopus"
"160" "Forest" "Audubon2" "5A" "290" "Peromyscus" "leucopus"
"161" "Forest" "Audubon2" "20A" "292" "Peromyscus" "leucopus"
"162" "Forest" "Audubon2" "19A" "292" "Peromyscus" "leucopus"
"163" "Forest" "Audubon2" "12B" "293" "Myodes" "gapperi"
"164" "Forest" "Audubon2" "20A" "296" "Peromyscus" "maniculatus"
"165" "Forest" "Audubon2" "22B" "296" "Peromyscus" "maniculatus"
"166" "Forest" "Audubon2" "21A" "296" "Peromyscus" "maniculatus"
"167" "Forest" "Audubon2" "20B" "298" "Peromyscus" "leucopus"
"168" "Forest" "Audubon2" "18" "298" "Peromyscus" "leucopus"
"169" "Forest" "Audubon2" "20B" "298" "Peromyscus" "leucopus"
"170" "Forest" "Audubon2" "19A" "298" "Peromyscus" "leucopus"
"171" "Forest" "Audubon2" "15A" "298" "Peromyscus" "leucopus"
"172" "Forest" "Audubon2" "22" "299" "Peromyscus" "leucopus"
"173" "Forest" "Audubon2" "21" "299" "Peromyscus" "leucopus"
"174" "Forest" "Audubon2" "28B" "300" "Peromyscus" "leucopus"
"175" "Forest" "Audubon2" "27B" "300" "Peromyscus" "leucopus"
"176" "Forest" "Audubon2" "25B" "300" "Peromyscus" "leucopus"
"177" "Forest" "Audubon2" "4B" "409" "Peromyscus" "leucopus"
"178" "Forest" "Audubon2" "4A" "409" "Peromyscus" "leucopus"
"179" "Forest" "Audubon2" "10B" "410" "Peromyscus" "maniculatus"
"180" "Forest" "Audubon2" "10B" "410" "Peromyscus" "maniculatus"
"181" "Forest" "Audubon2" "12A" "411" "Peromyscus" "leucopus"
"182" "Forest" "Audubon2" "13B" "411" "Peromyscus" "leucopus"
"183" "Forest" "Audubon2" "12A" "411" "Peromyscus" "leucopus"
"184" "Forest" "Audubon2" "19B" "412" "Peromyscus" "leucopus"
"185" "Forest" "Audubon2" "2B" "491" "Peromyscus" "leucopus"
"186" "Forest" "Audubon2" "6B" "491" "Peromyscus" "leucopus"
"187" "Forest" "Audubon2" "16A" "493" "Peromyscus" "leucopus"
"188" "Forest" "Audubon2" "19B" "494" "Peromyscus" "leucopus"
"189" "Forest" "Audubon2" "19B" "494" "Peromyscus" "leucopus"
"190" "Forest" "Audubon2" "21A" "495" "Peromyscus" "leucopus"
"191" "Forest" "Audubon2" "27A" "496" "Peromyscus" "leucopus"
"192" "Forest" "Audubon2" "27A" "496" "Peromyscus" "leucopus"
"193" "Forest" "Audubon2" "12B" "552" "Blarina" "brevicauda"
"194" "Forest" "Audubon2" "20B" "560" "Blarina" "brevicauda"
"195" "Forest" "Audubon2" "6A" "568" "Blarina" "brevicauda"
